id_venda,data_venda,id_loja,id_vendedor,id_cliente,id_produto,quantidade,valor_bruto,desconto,valor_liquido,custo_total,status
1,2025-07-05,1,13,927,112,2,5258.52,0.0,5258.52,2799.1,Concluída
2,2025-11-23,1,13,583,109,1,438.81,0.0,438.81,291.96,Concluída
3,2025-10-17,3,6,579,103,1,207.74,0.0,207.74,133.24,Concluída
4,2025-05-13,5,10,903,109,2,877.62,0.0,877.62,583.92,Concluída
5,2025-01-12,5,12,695,109,2,877.62,43.88,833.74,583.92,Concluída
6,2025-01-02,5,12,690,111,1,3133.63,313.36,2820.27,1612.76,Concluída
7,2025-07-28,1,13,508,106,1,137.92,0.0,137.92,73.42,Concluída
8,2025-01-25,1,13,546,108,1,424.26,0.0,424.26,191.74,Concluída
9,2025-10-20,4,9,232,112,1,2629.26,0.0,2629.26,1399.55,Concluída
10,2025-03-26,1,13,642,111,1,3133.63,0.0,3133.63,1612.76,Concluída
11,2025-10-31,4,8,861,105,1,1347.1,0.0,1347.1,858.02,Cancelada
12,2025-01-28,4,9,814,104,3,8413.35,420.67,7992.68,5086.86,Concluída
13,2025-02-18,3,6,128,102,4,16175.32,1617.53,14557.79,7567.32,Concluída
14,2025-12-22,1,13,64,115,2,1034.26,0.0,1034.26,582.88,Concluída
15,2025-08-10,1,13,573,101,1,3176.69,0.0,3176.69,2004.75,Concluída
16,2025-07-30,1,13,465,107,1,143.03,0.0,143.03,89.63,Concluída
17,2025-02-21,1,13,465,109,1,438.81,0.0,438.81,291.96,Concluída
18,2025-11-01,3,6,809,114,1,440.95,0.0,440.95,271.23,Concluída
19,2025-05-12,1,13,743,110,1,153.35,0.0,153.35,76.82,Concluída
20,2025-01-31,1,13,526,111,2,6267.26,0.0,6267.26,3225.52,Concluída
21,2025-03-16,1,13,618,106,1,137.92,20.69,117.23,73.42,Concluída
22,2025-12-03,3,4,244,109,2,877.62,0.0,877.62,583.92,Concluída
23,2025-06-26,1,13,656,115,1,517.13,0.0,517.13,291.44,Concluída
24,2025-09-01,3,5,615,112,1,2629.26,0.0,2629.26,1399.55,Devolvida
25,2025-11-12,1,13,167,102,1,4043.83,202.19,3841.64,1891.83,Concluída
26,2025-04-23,5,12,229,112,1,2629.26,0.0,2629.26,1399.55,Concluída
27,2025-06-19,4,8,211,107,1,143.03,21.45,121.58,89.63,Concluída
28,2025-02-07,1,13,146,105,1,1347.1,0.0,1347.1,858.02,Cancelada
29,2025-07-04,1,13,204,104,1,2804.45,0.0,2804.45,1695.62,Concluída
30,2025-03-31,1,13,183,104,1,2804.45,140.22,2664.23,1695.62,Cancelada
31,2025-01-11,4,7,389,111,2,6267.26,0.0,6267.26,3225.52,Cancelada
32,2025-06-06,2,2,829,106,2,275.84,27.58,248.26,146.84,Devolvida
33,2025-11-16,5,12,67,102,1,4043.83,404.38,3639.45,1891.83,Concluída
34,2025-04-09,2,3,384,106,1,137.92,20.69,117.23,73.42,Concluída
35,2025-01-24,4,9,194,114,1,440.95,22.05,418.9,271.23,Concluída
36,2025-01-28,3,5,894,103,3,623.22,93.48,529.74,399.72,Concluída
37,2025-04-18,3,5,810,111,2,6267.26,0.0,6267.26,3225.52,Concluída
38,2025-11-27,4,8,511,109,1,438.81,0.0,438.81,291.96,Concluída
39,2025-12-22,2,2,486,105,1,1347.1,0.0,1347.1,858.02,Concluída
40,2025-11-29,1,13,917,104,1,2804.45,0.0,2804.45,1695.62,Concluída
